Quadrant,innovation_tech_name,Person Number,AVG_feasibility_level
ESG,IoT in Smart Cities,5,3.80
ESG,OT Security,5,3.80
ESG,Sustainability in ERP,5,3.80
ESG,Edge Asset Life Cycle Management,5,3.60
ESG,IoT-Enabled Equipment as a Service,5,3.60
ESG,Privacy in China,5,3.60
ESG,Vulnerability Assessment,5,3.60
ESG,Asset Performance Management,5,3.40
ESG,Digital Ethics,5,3.20
ESG,Cloud Sustainability,5,3.10
ESG,Cyber-Physical Systems,5,3.00
ESG,Data Exchange,5,3.00
ESG,EVs and Charging Infrastructure in China,5,3.00
ESG,Environment Monitoring and Management,5,3.00
ESG,5G,5,2.80
ESG,Climate Risk Analytics,5,2.80
ESG,Supply Chain Cybersecurity,5,2.80
ESG,City Operations Center,5,2.60
ESG,Digital Product Passport,5,2.60
ESG,Industrial Operational Intelligence,5,2.60
ESG,Smart City Regional Governance,5,2.60
ESG,Energy Efficiency,5,2.40
ESG,Smart City Framework,5,2.40
ESG,Smart City as a Service,5,2.40
ESG,Building Information Modeling,5,2.33
ESG,Digital Twin of a Citizen,5,2.20
ESG,Distributed Generation,5,2.20
ESG,Event Stream Processing,5,2.20
ESG,Geospatial Platform,5,2.20
ESG,Multicloud,5,2.20
ESG,Programmable Infrastructure,5,2.20
ESG,Composable Infrastructure,5,2.00
ESG,Digital Twins of Government,5,2.00
ESG,Hyperconvergence,5,2.00
ESG,Large-Scale Lithium-Ion Batteries,5,2.00
ESG,OS Containers,5,2.00
ESG,SD-WAN,5,2.00
ESG,Serverless Infrastructure,5,2.00
ESG,Site Reliability Engineering,5,2.00
ESG,Intelligent Street Pole,5,1.90
ESG,5G for China,5,1.80
ESG,BMaaS,5,1.80
ESG,Balancing Opex and Capex,5,1.80
ESG,Banking Sustainability Tools,5,1.80
ESG,Computer Vision for Smart Cities,5,1.80
ESG,Consumption-Based Model,5,1.80
ESG,Distributed Integrated Platforms,5,1.80
ESG,Government Cloud in China,5,1.80
ESG,Green and Sustainable Finance,5,1.80
ESG,Intelligent Infrastructure,5,1.80
ESG,Interjurisdictional Government Services,5,1.80
ESG,Urban Energy Management Platform,5,1.80
ESG,Last-Mile Delivery Solutions,5,1.60
ESG,Biodiversity Accounting,5,1.40
ESG,Water Management Analytics,5,1.40
ESG,Food Safety and Traceability,5,1.20
ESG,Urban Waste Management,5,1.20
Gen-AI,Natural Language Understanding,4,5.00
Gen-AI,Generative AI,4,4.94
Gen-AI,Generative AI-Enabled Applications,4,4.88
Gen-AI,Prompt Engineering,4,4.81
Gen-AI,AI Governance,4,4.75
Gen-AI,AI-Augmented Testing,4,4.75
Gen-AI,Intelligent Automation,4,4.75
Gen-AI,Intelligent Infrastructure,4,4.75
Gen-AI,Large Language Models,4,4.75
Gen-AI,Retrieval Augmented Generation,4,4.75
Gen-AI,Model Hubs,4,4.50
Gen-AI,Open-Source LLMs,4,4.50
Gen-AI,AI TRiSM,4,4.38
Gen-AI,AI-Augmented Software Engineering,4,4.38
Gen-AI,Causal AI,4,4.25
Gen-AI,Data-Centric AI,4,4.25
Gen-AI,Intelligent Applications,4,4.25
Gen-AI,AI Maker and Teaching Kits,4,4.00
Gen-AI,Cloud AI Services,4,4.00
Gen-AI,Customer Journey Analytics,4,4.00
Gen-AI,DEX Tools,4,4.00
Gen-AI,Decision Intelligence,4,4.00
Gen-AI,Human-Centered AI,4,4.00
Gen-AI,Insight Engines,4,4.00
Gen-AI,Log Monitoring and Analysis,4,4.00
Gen-AI,Ontologies and Knowledge Graphs,4,4.00
Gen-AI,Open-Source NLP Toolkits,4,4.00
Gen-AI,Process Mining,4,4.00
Gen-AI,Self-Supervised Learning,4,4.00
Gen-AI,Semantic Search,4,4.00
Gen-AI,Data Labeling and Annotation,4,3.75
Gen-AI,Digital Twin of a Citizen,4,3.75
Gen-AI,Edge AI,4,3.75
Gen-AI,Composite AI,4,3.50
Gen-AI,Computer Vision,4,3.50
Gen-AI,Knowledge Graphs,4,3.50
Gen-AI,Synthetic Data,4,3.38
Gen-AI,Intelligent Document Processing,4,3.33
Gen-AI,APM,4,3.25
Gen-AI,Application Security Posture Management,4,3.25
Gen-AI,Autonomous Workload Optimization,4,3.25
Gen-AI,Business Ecosystem Modeling,4,3.25
Gen-AI,Deep Learning,4,3.25
Gen-AI,Digital Experience Monitoring,4,3.25
Gen-AI,First-Principles AI,4,3.25
Gen-AI,LCAP in Government,4,3.25
Gen-AI,Machine Learning,4,3.25
Gen-AI,Network AI and Automation,4,3.25
Gen-AI,Observability,4,3.25
Gen-AI,Threat Intelligence Products and Services,4,3.25
Gen-AI,Conversational User Interfaces,4,3.13
Gen-AI,DXP,4,3.00
Gen-AI,Design Systems,4,3.00
Gen-AI,Enterprise Conversational AI Platforms,4,3.00
Gen-AI,Identity Wallets,4,3.00
Gen-AI,Innovation Ecosystems,4,3.00
Gen-AI,Multiexperience,4,3.00
Gen-AI,Multistructured Analytics,4,3.00
Gen-AI,Natural Language Generation,4,3.00
Gen-AI,Natural Language Query,4,3.00
Gen-AI,Neural Machine Translation,4,3.00
Gen-AI,Partner Ecosystem Management Platforms,4,3.00
Gen-AI,Predictive Analytics in Government,4,3.00
Gen-AI,Prescriptive Analytics,4,3.00
